District of residence at Census 1971	Total lifetime in-migrants	Largest	Largest - count	Largest - percentage	Second largest	Second largest - count	Second largest - percentage	Third Largest	Third Largest - count	Third Largest - percentage
Colombo	439952	Galle	69443	15.8	Kalutara	60573	13.8	Matara	54854	12.5
Kalutara	98960	Colombo	44738	45.2	Galle	18641	18.8	Ratnapura	8702	8.8
Kandy	148319	N'Eliya	34536	23.3	Kegalle	20179	13.6	Colombo	19519	13.2
Matale	66870	Kandy	36827	55.1	Kurunegala	7472	11.2	Colombo	4994	7.5
N'Eliya	74003	Kandy	40751	55.1	Badulla	11267	15.3	Matale	4620	6.2
Galle	67618	Matara	20816	30.8	Kalutara	16659	24.6	Colombo	12777	18.2
Matara	56574	Galle	16544	29.2	H'tota	11829	21.0	Ratnapura	8442	14.9
Hambantota	52565	Matara	34854	66.3	Galle	4543	8.6	Moneragala	2289	4.4
Jaffna	25702	Kandy	4242	16.5	Mannar	4075	15.9	Colombo	3921	15.3
Mannar	15504	Jaffna	6565	42.3	Colombo	2102	13.6	Kandy	1234	8.0
Vavuniya	32970	Jaffna	14605	44.3	Kandy	3943	12.0	Anuradhapura	2057	6.2
Batticaloa	15505	Jaffna	3348	21.6	Colombo	1554	10.0	Amparai	1519	9.8
Amparai	57741	Kegalle	7870	13.6	Matara	7079	12.3	Kandy	6762	11.7
Trincomalee	55964	Jaffna	9652	17.3	N'Eliya	8345	14.9	Colombo	7252	13.0
Kurunegala	141463	Colombo	47440	33.5	Kegalle	21472	15.2	Puttalam	21144	15.0
Puttalam	74098	Colombo	35629	48.1	Kurunegala	24273	32.8	Kalutara	2568	3.5
Anuradhapura	103298	Colombo	19802	19.2	Kandy	19473	18.9	Kurunegala	16670	16.2
Polonnaruwa	77991	Kandy	15994	20.5	Kegalle	13980	17.9	Matale	10429	13.4
Badulla	59850	N'Eliya	16874	28.2	Kandy	13917	23.3	Colombo	6470	10.8
Moneragala	51677	Badulla	24572	47.6	H'tota	5075	9.8	Matara	5016	9.7
Ratnapura	91782	Kalutara	15697	17.1	Colombo	14897	16.2	Matara	14003	15.3
Kegalle	93274	Colombo	28817	30.9	Kandy	20136	21.6	Ratnapura	14164	15.2
